,run,epoch,train loss,test loss,epoch duration,run duration,batch_size,model,network,margin,opt,lr
0,1,1,2.724996566772461,0.9026070833206177,6.688718318939209,6.696201801300049,10,tripletNet,effB3,1.0,adam,0.01
1,1,2,0.8406471014022827,1.6271098852157593,5.885216951370239,12.618362188339233,10,tripletNet,effB3,1.0,adam,0.01
2,1,3,0.8903202414512634,1.222065806388855,5.934494733810425,18.583797693252563,10,tripletNet,effB3,1.0,adam,0.01
3,1,4,0.9382593631744385,0.6743659377098083,6.097652435302734,24.702434539794922,10,tripletNet,effB3,1.0,adam,0.01
4,1,5,0.9269479513168335,0.608143150806427,5.965043067932129,30.669471979141235,10,tripletNet,effB3,1.0,adam,0.01
5,1,6,2.2020139694213867,0.48021936416625977,6.063971042633057,36.758376598358154,10,tripletNet,effB3,1.0,adam,0.01
6,1,7,5.995988845825195,0.9675570726394653,6.034859657287598,42.81022310256958,10,tripletNet,effB3,1.0,adam,0.01
7,1,8,1.1073389053344727,0.6994584202766418,6.175446510314941,48.992653608322144,10,tripletNet,effB3,1.0,adam,0.01
8,1,9,1.0479841232299805,0.6298052668571472,7.050110816955566,56.04878091812134,10,tripletNet,effB3,1.0,adam,0.01
9,1,10,1.3684413433074951,0.3286634385585785,10.823273420333862,66.87404894828796,10,tripletNet,effB3,1.0,adam,0.01
10,1,11,3.315493106842041,2.007373571395874,11.815263271331787,78.69330286979675,10,tripletNet,effB3,1.0,adam,0.01
11,1,12,5.25813627243042,7.364915370941162,11.212953805923462,89.91124725341797,10,tripletNet,effB3,1.0,adam,0.01
12,1,13,9.87493896484375,1.8894199132919312,11.286125183105469,101.20136022567749,10,tripletNet,effB3,1.0,adam,0.01
13,1,14,2.7977471351623535,1.712672472000122,11.130542039871216,112.33589029312134,10,tripletNet,effB3,1.0,adam,0.01
14,1,15,1.2783164978027344,0.7595763802528381,11.294105052947998,123.6340434551239,10,tripletNet,effB3,1.0,adam,0.01
15,1,16,2.075972557067871,0.5734136700630188,11.299871444702148,134.9379050731659,10,tripletNet,effB3,1.0,adam,0.01
16,1,17,1.7042303085327148,0.5088511109352112,11.280838251113892,146.22273683547974,10,tripletNet,effB3,1.0,adam,0.01
17,1,18,0.9683593511581421,2.0738072395324707,11.436514616012573,157.66324043273926,10,tripletNet,effB3,1.0,adam,0.01
18,1,19,2.6587681770324707,0.6246766448020935,11.272858142852783,168.94108819961548,10,tripletNet,effB3,1.0,adam,0.01
19,1,20,5.500899314880371,0.689193606376648,11.242152690887451,180.18720936775208,10,tripletNet,effB3,1.0,adam,0.01
20,1,21,1.0083644390106201,1.3540029525756836,11.41849160194397,191.60969376564026,10,tripletNet,effB3,1.0,adam,0.01
21,1,22,0.6922584772109985,0.8740262985229492,11.034394264221191,202.64907550811768,10,tripletNet,effB3,1.0,adam,0.01
22,1,23,2.136706829071045,0.5135418772697449,11.222839832305908,213.87690258026123,10,tripletNet,effB3,1.0,adam,0.01
23,1,24,1.6015143394470215,0.6059373021125793,11.17963981628418,225.06053137779236,10,tripletNet,effB3,1.0,adam,0.01
24,1,25,1.3163697719573975,0.7729249000549316,11.134997129440308,236.1995177268982,10,tripletNet,effB3,1.0,adam,0.01
25,1,26,1.6513718366622925,0.6176180839538574,11.31453537940979,247.51804280281067,10,tripletNet,effB3,1.0,adam,0.01
26,1,27,1.0981532335281372,0.9464684724807739,11.158459901809692,258.6804919242859,10,tripletNet,effB3,1.0,adam,0.01
27,1,28,1.6607913970947266,0.9257273077964783,11.127888441085815,269.8123211860657,10,tripletNet,effB3,1.0,adam,0.01
28,1,29,2.0678582191467285,0.784961998462677,11.23157787322998,281.04886054992676,10,tripletNet,effB3,1.0,adam,0.01
29,1,30,1.26775062084198,0.7545048594474792,11.162837266921997,292.2156903743744,10,tripletNet,effB3,1.0,adam,0.01
30,2,1,0.9068752527236938,0.6693894267082214,11.375244140625,11.390298128128052,10,tripletNet,effB3,1.0,adam,0.001
31,2,2,0.5858728885650635,0.562349259853363,11.777505874633789,23.17179584503174,10,tripletNet,effB3,1.0,adam,0.001
32,2,3,0.45716094970703125,0.45307084918022156,11.605365514755249,34.781150341033936,10,tripletNet,effB3,1.0,adam,0.001
33,2,4,0.4723760485649109,0.41279956698417664,11.396919012069702,46.18205666542053,10,tripletNet,effB3,1.0,adam,0.001
34,2,5,0.3721470534801483,0.3116667568683624,11.260085344314575,57.44613242149353,10,tripletNet,effB3,1.0,adam,0.001
35,2,6,0.41943666338920593,0.25136420130729675,11.251096963882446,68.70121908187866,10,tripletNet,effB3,1.0,adam,0.001
36,2,7,0.4057474732398987,0.247928649187088,11.38592791557312,80.09113883972168,10,tripletNet,effB3,1.0,adam,0.001
37,2,8,0.3695860505104065,0.21713271737098694,11.374944925308228,91.47007322311401,10,tripletNet,effB3,1.0,adam,0.001
38,2,9,0.2732706665992737,0.23294825851917267,11.27644157409668,102.75050377845764,10,tripletNet,effB3,1.0,adam,0.001
39,2,10,0.3807377219200134,0.12454470247030258,11.272197246551514,114.02669644355774,10,tripletNet,effB3,1.0,adam,0.001
40,2,11,0.30093806982040405,0.12444835156202316,11.320328950881958,125.35101056098938,10,tripletNet,effB3,1.0,adam,0.001
41,2,12,0.2749098539352417,0.120915986597538,11.599016666412354,136.9540195465088,10,tripletNet,effB3,1.0,adam,0.001
42,2,13,0.24976520240306854,0.18552961945533752,11.506179094314575,148.46418929100037,10,tripletNet,effB3,1.0,adam,0.001
43,2,14,0.2786874771118164,0.27939093112945557,11.665746688842773,160.13392615318298,10,tripletNet,effB3,1.0,adam,0.001
